フランス	France	私は{フランス}から来ています。	ふらんす	1	Japanese	52	
はい	yes/OK/okay	{はい}。	hai	1	Japanese	53	
は	(Hiragana: ha), (topic marker particle, わ / wa)	私{は}イギリスから来ています。	ha // わ / wa	5	Japanese	54	
い	(Hiragana: i)	は{い}。	i	5	Japanese	55	
え	(Hiragana: e)	いい{え}。	e	5	Japanese	56	
す	(Hiragana: su)	{す}みません。	su	5	Japanese	57	
み	(Hiragana: mi)	す{み}ません。	mi	5	Japanese	58	
ま	(Hiragana: ma)	すみ{ま}せん。	ma	5	Japanese	59	
せ	(Hiragana: se)	すみま{せ}ん。	se	5	Japanese	60	
ん	(Hiragana: n)	すみませ{ん}。	n	5	Japanese	61	
いいえ	no/nay	{いいえ}。	iie	1	Japanese	62	
すみません	sorry/excuse me	{すみません}。	sumimasen	3	Japanese	63	
ど	(Hiragana: do)	{ど}うも。	do	5	Japanese	64	
う	(Hiragana: u)	ど{う}も。	u	5	Japanese	65	
も	(Hiragana: mo)	どう{も}。	mo	5	Japanese	66	
あ	(Hiragana: a)	{あ}りがとうございます。	a	5	Japanese	68	
り	(Hiragana: ri)	あ{り}がとうございます。	ri	5	Japanese	69	
が	(Hiragana: ga)	あり{が}とうございます。	ga	5	Japanese	70	
と	(Hiragana: to)	ありが{と}うございます。	to	5	Japanese	71	
ありがとう	thank you	{ありがとう}ございます。	arigatou	1	Japanese	72	
ご	(Hiragana: go)	ありがとう{ご}ざいます。	go	5	Japanese	73	
ざ	(Hiragana: za)	ありがとうご{ざ}います。	za	5	Japanese	74	
ございます	(polite) to be, to exist	ありがとう{ございます}。	gozaimasu	1	Japanese	75	
た	(Hiragana: ta)	どうい{た}しまして。	ta	5	Japanese	77	
し	(Hiragana: shi)	どういた{し}ま{し}て。	shi	5	Japanese	78	
て	(Hiragana: te)	どういたしまし{て}。	te	5	Japanese	79	
日本	Japan	{日本}語を話しますか。	にほん / nihon	1	Japanese	83	
日本語	Japanese (language)	{日本語}を話しますか。	にほんご / nihongo	1	Japanese	85	
を	(Hiragana: wo), (indicates direct object of action)	日本語{を}話しますか。	wo	5	Japanese	86	
か	(Hiragana: ka), (indicates question at sentence end)	日本語を話します{か}。	ka	5	Japanese	87	
ます	(used to indicate respect)	日本語を話し{ます}か。	masu	1	Japanese	88	
話し	talk, speech	日本語を{話し}ますか。	はなし / hanashi	1	Japanese	89	
少し	small quantity/little/few	はい、{少し}。	すこし / sukoshi	1	Japanese	92	
少	few; little	はい、{少}し。	kun: すく.ない、 すこ.し / on: ショウ	1	Japanese	93	
私	I/me	{私}はイギリスから来ています。	あたし / watashi	1	Japanese	94	
ギ	(Katakana: gi)	私はイ{ギ}リスから来ています。	ぎ / gi	5	Japanese	96	
イギリス	Great Britain/United Kingdom	私は{イギリス}から来ています。	igirisu	1	Japanese	97	
イ	(Katakana: i)	私は{イ}ギリスから来ています。	い / i	5	Japanese	98	
リ	(Katakana: ri)	私はイギ{リ}スから来ています。	ri	5	Japanese	99	
ス	(Katakana: su)	私はイギリ{ス}から来ています。	su	5	Japanese	100	
ら	(Hiragana: ra)	私はイギリスか{ら}来ています。	ra	5	Japanese	101	
から	from	私はイギリス{から}来ています。	kara	1	Japanese	102	
日	counter for days; day; Japan; sun	{日}本語を話しますか。	kun: -か、 ひ、 -び / on: ジツ、 ニチ / names: あ、 あき、 いる、 く、 くさ、 こう、 す、 たち、 に、 にっ、 につ、 へ	3	Japanese	103	
本	book; counter for long cylindrical things; main; origin; present; real; true	日{本}語を話しますか。	kun: もと / on: ホン / names: まと	3	Japanese	104	
語	language; speech; word	日本{語}を話しますか。	kun: かた.らう、 かた.る / on: ゴ	4	Japanese	105	
話	tale; talk	日本語を{話}しますか。	kun: はなし、 はな.す / on: ワ	3	Japanese	106	
来	become; cause; come; due; next	イギリスから{来}ました。	kun: き、 きた.す、 き.たす、 きた.る、 き.たる、 く.る、 こ / on: タイ、 ライ / names: くり、 くる、 ごろ、 さ	1	Japanese	107	
どうも	thanks	{どうも}。	doumo	1	Japanese	108	
来ました	came (polite imp.)	イギリスから{来ました}。	きました / kimashita	1	Japanese	109	
