טוב	good	בוקר {טוב}	tov	1	Hebrew	152	
בוקר	morning	{בוקר} טוב	boker	1	Hebrew	153	
ערב	evening	{ערב} טוב	erev	1	Hebrew	154	
לילה	night	{לילה} טוב	laila	1	Hebrew	155	
להתראות	good bye	{להתראות}	lehitraot	1	Hebrew	156	
טובים	good	אחר צהריים {טובים}	tovim	1	Hebrew	157	
צהריים	noon	אחר {צהריים} טובים	tzahara'im	1	Hebrew	158	
אחר	after, other	{אחר} צהריים טובים	achar	1	Hebrew	159	
בוקר טוב	good morning	{בוקר טוב}	boker tov	1	Hebrew	160	
אחר צהריים טובים	good afternoon	{אחר צהריים טובים}	achar tzahara'im tovim	1	Hebrew	161	
ערב טוב	good evening	{ערב טוב}	erev tov	1	Hebrew	162	
לילה טוב	good night	{לילה טוב}	laila tov	1	Hebrew	163	
אחר צהריים	afternoon	{אחר צהריים} טובים	achar tzahara'im	1	Hebrew	164	
